generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,9.8233,2.4466,1.8883,6.3183,-1.02,79,12.2,3,0.6666666666666666,0.89,9.667,-2.067,3.333,-2.0
2,22.9833,4.1817,2.9433,3.9867,-0.7367,168,20.3,3,2.6666666666666665,5.05,36.5,-19.067,13.333,-12.833
3,29.3067,4.1158,3.0483,4.2067,-0.51,155,16.5,3,3.0,4.64,37.333,-16.0,15.0,-11.667
4,32.4933,3.8388,2.6733,4.0183,-0.6967,165,16.8,3,3.6666666666666665,4.96,39.0,-17.467,18.333,-12.333
5,31.7067,4.4651,3.5883,3.5883,-0.7867,85,21.0,3,3.6666666666666665,1.94,20.5,-4.733,18.333,-4.333
6,16.88,7.2083,5.7767,4.315,-0.68,129,24.0,4,2.0,1.88,15.5,-6.333,10.0,-4.167
7,19.2167,4.4169,3.16,3.6083,-1.47,108,17.8,3,2.0,3.25,25.333,-11.533,10.0,-7.833
8,25.89,4.8961,3.725,3.755,-1.2433,92,17.8,3,3.0,1.09,13.5,-1.867,15.0,-1.833
9,17.3433,5.3878,4.9817,7.6983,-0.5033,67,19.2,3,2.0,2.01,16.833,-6.667,10.0,-4.833
10,43.2167,5.9671,4.4483,7.0333,-0.51,275,16.3,3,4.666666666666667,8.25,62.833,-29.867,23.333,-21.333
11,24.03,4.5963,3.7267,6.44,-0.51,116,17.5,3,2.6666666666666665,1.23,14.167,-2.533,13.333,-2.167
12,25.4833,4.0609,2.05,4.0133,-0.6233,155,13.0,3,2.6666666666666665,4.65,35.833,-16.667,13.333,-11.667
13,32.8067,4.6157,2.9233,6.24,-1.0033,185,19.0,3,3.3333333333333335,5.54,43.833,-19.4,16.667,-13.833
14,28.7967,4.6319,3.6633,6.8067,-0.85,94,15.8,3,2.3333333333333335,2.23,24.833,-4.933,11.667,-5.0
15,34.0767,5.4917,3.2,5.27,-1.1233,168,14.5,3,3.0,2.71,29.0,-6.467,15.0,-6.167
16,51.9367,5.8359,3.4317,5.4617,-0.51,112,17.3,3,5.0,3.37,38.0,-7.267,25.0,-7.167
17,47.9767,9.1444,4.7133,4.63,-1.55,109,22.2,3,4.333333333333333,3.21,36.667,-6.733,21.667,-6.833
18,122.3167,10.8265,5.74,6.84,-0.7933,235,21.5,3,12.333333333333334,7.05,82.333,-14.067,61.667,-14.667
19,68.4567,12.8404,4.655,5.825,-0.6467,149,21.3,3,6.666666666666667,4.09,47.833,-8.133,33.333,-8.667
